,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,split
3104,Greys,9.0,,20295.0027622,Education,49.3639339898,No,411.130173831,Yes,Male,After_16:00,0.409427191596,0.505926600192,4.0966204647,5.40273895487,7.40374348359,6.06908808229,6047.0,29.1630540043,588.326553548,5287.95484541,70629.2519696,Yes,169028.019834,24.255443792,693398.002382,26.7095716903,2496.16191294,100.0,Below_30,2.0,930.909409721,18.0,Car,Student_or_Unemployed,720.604988288,0.0,No,train
3107,Blues,10.0,133.035948203,20112.2854504,Environment,44.3453160675,No,453.537988539,Yes,Male,After_16:00,0.428135631373,0.687025147723,6.94960657274,7.67892963253,8.27230022056,1.55401288765,9536.0,73.7945796922,581.88055877,5699.14100293,68989.442138,Yes,205696.707048,24.1222005375,678273.892191,82.661234308,2020.8523732,90.0,30-45,0.0,889.238728512,12.0,Motorcycle_or_truck,Industry_or_other,640.384853531,0.0,No,train
3109,Oranges,1.0,795.092643073,120239.068972,Healthcare,265.030881024,No,453.679467492,Yes,Male,After_16:00,0.522560708458,0.83180947369,5.2181247971,0.596863857936,5.93467148254,4.12733091507,4983.0,68.3149301913,563.505439518,5663.80555396,70690.8828818,Yes,205825.059224,23.738269514,636318.609625,24.9387295684,70516.3987776,80.0,45_and_up,3.0,941.607554772,6.0,Car,Student_or_Unemployed,778.169424913,0.0,No,train
3110,Whites,5.0,176.822759648,38728.1620411,Military,58.9409198826,No,657.067485852,No,Female,By_16:00,0.374841620214,0.0498946665321,3.83065878181,6.83593213325,4.67678763438,6.12675662152,5567.0,82.9685271019,940.165115354,8451.00508923,105725.301553,Yes,431737.680964,30.6621120498,1769328.90988,91.4849872235,3542.97295649,30.0,45_and_up,2.0,1332.33241903,13.0,Foot_or_bicycle,Industry_or_other,840.954133261,0.0,Yes,train
3112,Purples,4.0,1019.00540898,222252.196251,Financial,339.668469662,Yes,654.320951465,No,Female,After_16:00,0.818141303258,0.575037280796,4.6492586704,7.68255161587,6.39905799646,5.02641230822,5260.0,92.8388607921,552.300559945,7647.81063454,73335.4486126,No,428135.907526,23.5010757189,611519.961793,3.36556800175,115724.337752,60.0,30-45,3.0,954.41450436,15.0,Public_or_other,Services_or_Retail,783.823810527,1.0,Yes,train
3113,Purples,7.0,1031.04408695,76949.0996287,Healthcare,343.681362317,Yes,223.896632363,Yes,Male,After_16:00,0.991519149859,0.514388299314,1.47621172247,0.184905426577,2.36354828812,9.79299945524,9042.0,6.60691459198,513.099406744,3265.16513712,63518.3374559,No,50129.7019835,22.651697657,527587.383476,73.8736160798,118470.560166,80.0,30-45,4.0,889.921350312,18.0,Car,Public_Sector,811.484442012,0.0,Yes,train
3115,Reds,7.0,594.584364009,120818.852701,Financial,198.194788003,No,609.596518247,No,Female,By_16:00,0.650405070046,0.138485767413,7.09568985738,1.42476496985,3.82281028666,4.34023743263,5693.0,65.5500216642,664.970654439,7425.90649135,80374.7166664,Yes,371607.915059,25.7870249241,885722.5792,10.1070494857,39489.3687796,60.0,30-45,2.0,1024.95331693,11.0,Motorcycle_or_truck,Services_or_Retail,731.040152223,0.0,No,train
3117,Yellows,8.0,191.977415702,32833.3307613,Social,63.9924719005,No,513.081145112,No,Male,After_16:00,0.821430852404,0.427608170314,3.08002191829,2.76694614207,1.20378735242,5.20323630888,7326.0,65.0920249987,660.052784723,6450.91702057,76546.7096253,Yes,263252.261469,25.6914924581,872515.486533,86.1105979187,4169.02893184,70.0,45_and_up,3.0,971.879694252,15.0,Car,Services_or_Retail,653.048146981,0.0,No,train
3121,Browns,4.0,1254.92482574,112884.899846,Healthcare,418.308275245,Yes,269.860546698,Yes,Male,By_16:00,0.0457643254194,0.089574204525,4.05877336627,5.10987315327,2.13609617902,3.12694449909,5064.0,65.9254237078,134.939002709,2968.4834724,28171.9708415,No,72824.7146641,11.6163248366,37252.9825523,52.0610544132,175410.121414,80.0,45_and_up,1.0,426.45770778,15.0,Motorcycle_or_truck,Public_Sector,556.053101344,3.0,No,train
3123,Greys,1.0,202.923541898,31275.3956372,Financial,67.6411806328,No,462.372113327,Yes,Female,By_16:00,0.98959638481,0.908256663475,0.30623947503,5.02440806944,1.46297477186,4.22964600381,3175.0,38.1573929917,612.017485737,5847.75610475,74117.125775,Yes,213787.971183,24.7389871607,750355.151766,39.1920085065,4652.97049803,60.0,45_and_up,4.0,973.039926529,2.0,Car,Services_or_Retail,751.973956065,0.0,No,train
3125,Blues,6.0,138.48647505,18705.2617786,Social,46.1621583501,No,405.207694942,Yes,Female,By_16:00,0.127303982619,0.625723642763,7.19334647991,8.42943164287,1.75832916517,1.30855605006,7519.0,65.9489987418,555.675832855,5163.42861513,64753.3323078,Yes,164193.27604,23.5727773683,618549.545562,9.66600594111,2187.10702189,70.0,Below_30,1.0,832.166733529,15.0,Foot_or_bicycle,Services_or_Retail,583.07542893,0.0,No,train
3126,Yellows,9.0,73.6728052003,11757.7550531,Healthcare,24.5576017334,No,478.782707722,Yes,Male,By_16:00,0.442194528179,0.0287828394212,5.08493641391,1.60541046411,6.45450085867,4.20020156773,8959.0,98.4974056249,586.756319976,5961.33971717,71937.9125266,Yes,229232.881214,24.2230534817,689787.70168,45.2102680225,637.633404631,80.0,45_and_up,1.0,942.439413039,9.0,Public_or_other,Services_or_Retail,732.960908577,0.0,No,train
3127,Yellows,8.0,388.226456403,68987.5352238,Healthcare,129.408818801,No,533.097634789,No,Female,By_16:00,0.153698781505,0.6468681884,3.30003592651,1.34426629404,0.749834836461,6.82394118514,4773.0,53.1499754172,615.261472833,6561.49929356,78182.4140439,Yes,284193.088218,24.8044647762,758501.624341,15.7210646896,16886.0512023,80.0,45_and_up,3.0,1039.62848959,8.0,Motorcycle_or_truck,Industry_or_other,865.166801126,0.0,No,train
3130,Yellows,6.0,629.983928617,98452.3214785,Social,209.994642872,No,468.832538449,Yes,Female,By_16:00,0.537520174403,0.126630109036,5.25261042174,9.04585321201,1.15997577319,0.597170635592,4296.0,6.51924558915,588.348448883,5865.02228225,72238.2673132,Yes,219803.949108,24.2558951367,693534.463589,39.5726982271,44317.744678,70.0,Below_30,2.0,950.315080643,12.0,Motorcycle_or_truck,Services_or_Retail,747.836445607,0.0,No,train
3132,Blues,1.0,453.809940728,87983.2810507,Education,151.269980243,No,581.630809428,No,Male,By_16:00,0.965997836087,0.753831487615,2.83180989325,0.453511171509,0.0257314555347,2.62656476814,5607.0,31.2064213445,665.127251674,7146.56259763,78479.7414136,Yes,338294.398476,25.7900611026,886048.928192,30.3320880514,23043.8769029,100.0,Below_30,3.0,991.165379611,7.0,Motorcycle_or_truck,Services_or_Retail,668.775544323,0.0,No,train
3133,Yellows,5.0,285.189939919,38089.8229241,Education,95.0633133063,No,400.678469952,Yes,Female,After_16:00,0.453530986561,0.913184777834,3.89148216229,0.11399662355,0.687807789072,1.65352609241,6593.0,73.211937747,581.213589456,5169.21187843,67302.0632554,Yes,160543.236283,24.1083717711,676637.562132,87.9455529619,9142.09685008,100.0,30-45,2.0,867.36534076,5.0,Foot_or_bicycle,Services_or_Retail,608.41052651,0.0,No,train
3134,Yellows,10.0,742.624038683,97890.3628707,Financial,247.541346228,No,395.450555483,Yes,Male,After_16:00,0.706516102888,0.983176921029,6.67709475616,3.80431772908,7.08340317477,7.33901210129,3515.0,75.1700615976,550.585768434,5055.67709169,64152.7356328,Yes,156381.141831,23.4645641007,607276.706261,73.8684361801,61534.2594385,60.0,30-45,0.0,826.011697462,8.0,Public_or_other,Student_or_Unemployed,581.878900645,0.0,No,train
3135,Greys,10.0,208.608763722,43445.6398073,Financial,69.5362545739,No,624.79119811,No,Male,After_16:00,0.769924095832,0.0520696062595,,7.16988102533,5.50661571324,9.08637368586,3929.0,51.17235207,583.298027463,7414.50803603,72495.3443227,Yes,390364.041236,24.151563665,681769.27548,82.3321724776,4914.82695473,60.0,Below_30,1.0,918.10064361,15.0,Car,Industry_or_other,661.306598165,0.0,No,train
3138,Yellows,1.0,72.8820340324,11652.8924622,Environment,24.2940113441,No,479.661110596,Yes,Male,By_16:00,0.384513597004,0.96562609938,7.5713216397,6.57912459224,2.37939083716,1.30960492417,6425.0,96.1388761876,663.969366794,6124.54983955,76826.0845684,Yes,230074.781018,25.7676030471,882876.574946,42.7792313742,624.492998533,90.0,Below_30,1.0,983.675418234,10.0,Motorcycle_or_truck,Public_Sector,676.27375412,0.0,No,train
3139,Yellows,8.0,621.990906943,70027.2054045,Education,207.330302314,No,337.756732242,Yes,Female,By_16:00,0.866189680761,0.745515013114,4.97965771472,5.1708628051,1.77781850565,3.26807426289,4976.0,31.3619759399,588.539818836,4554.6469601,66638.2999991,Yes,114079.610175,24.2598396292,693706.569532,38.9921893831,43203.18456,100.0,30-45,2.0,863.749554615,13.0,Motorcycle_or_truck,Industry_or_other,600.576088876,0.0,No,train
3140,Reds,6.0,78.4428791527,10982.0560447,Healthcare,26.1476263842,No,420.00202555,Yes,Female,By_16:00,0.363917594077,0.636352868751,8.04918067995,6.7955885129,6.85358925723,5.2762268926,4330.0,60.2578960126,710.850990315,5621.72223613,83488.2089866,Yes,176401.701466,26.6617889556,1011895.22356,74.1133806296,719.845991913,80.0,Below_30,1.0,1105.24642704,5.0,Car,Hightech,846.960666393,1.0,No,train
3142,Greys,5.0,292.297599447,58113.1029189,Education,97.4325331489,No,596.444545171,No,Male,After_16:00,0.852435593959,0.38863943168,8.80368544953,0.772746761795,4.73503216403,1.9347535749,5558.0,92.9237801116,546.374052084,7057.19355588,67805.552294,Yes,355746.095464,23.3746454964,598262.439817,64.6557370899,9600.53104897,100.0,30-45,1.0,,20.0,Motorcycle_or_truck,Services_or_Retail,606.785689538,1.0,No,train
3144,Pinks,8.0,691.064435648,140945.074084,Other,230.354811883,No,611.860776566,No,Male,After_16:00,0.0467014687601,0.187299699523,5.80131326569,0.556853879243,0.832335264422,6.22479508165,5533.0,4.26242591348,293.588285102,6705.78433586,52065.5944773,Yes,374373.6099,17.1344181431,173800.323008,28.8128370885,53303.6941693,50.0,30-45,1.0,720.565500935,6.0,Foot_or_bicycle,Public_Sector,790.299933374,0.0,Yes,train
3148,Oranges,9.0,371.778471777,53922.6750077,Environment,123.926157259,No,435.119398522,Yes,Male,By_16:00,0.920596173033,0.433907594066,6.66301797843,1.78363343468,7.92829748243,6.03660608875,7331.0,56.1148975044,545.682141004,5442.55826723,68624.2584907,Yes,189328.89097,23.3598403463,596747.146005,77.1125993226,15491.6186103,90.0,Below_30,0.0,916.640158832,10.0,Foot_or_bicycle,Services_or_Retail,764.028584153,0.0,No,train
3153,Oranges,3.0,793.025450164,121558.928156,Financial,264.341816721,No,459.855083331,Yes,Female,After_16:00,0.346350521781,0.00250519951805,4.47736821137,8.66594131803,2.18140362762,3.82061750395,8884.0,,592.075696974,5782.70222726,73320.8232102,Yes,211466.697665,24.3326056347,702365.69224,7.08977025934,70150.9378843,60.0,45_and_up,0.0,973.14126682,16.0,Motorcycle_or_truck,Industry_or_other,788.575262421,0.0,No,train
3154,Reds,3.0,350.269307833,41493.0485925,Financial,116.756435944,No,355.381253777,Yes,Female,By_16:00,0.201448836131,0.653250814183,4.27573968191,9.95185279753,7.38875779556,9.69847798115,5272.0,37.8524007276,728.90790492,5011.62834761,83511.3812663,Yes,126295.835536,26.9982944817,1063811.77364,88.5907919146,13758.8217704,60.0,Below_30,3.0,1108.01757803,2.0,Foot_or_bicycle,Industry_or_other,832.924676459,0.0,No,train
3155,Reds,1.0,183.448771455,24293.4846057,Social,61.149590485,No,397.279596037,Yes,Male,,0.375261668814,0.596906645922,9.7052904265,9.20664602425,3.44433688093,0.384213821962,5682.0,33.3794927457,682.411893234,5337.61974683,80056.4973767,Yes,157831.077427,26.1230146276,932592.732903,37.8758119652,3810.42200697,70.0,30-45,1.0,1060.63328928,19.0,Car,Services_or_Retail,813.469251535,2.0,No,train
3158,Greys,7.0,248.267245706,50959.4788097,Education,82.7557485688,No,615.781739529,No,Female,After_16:00,0.953407477355,0.300192076247,9.88077143673,5.5994461826,0.177656104788,7.05282899085,3313.0,29.9629649846,597.200301345,7352.21799798,73117.5034533,Yes,379187.150737,24.4376819962,714568.842018,43.8842230709,6941.26966975,100.0,45_and_up,3.0,922.388657635,20.0,Motorcycle_or_truck,Industry_or_other,646.660424943,0.0,No,train
3159,Oranges,10.0,782.145791853,116409.264662,Education,260.715263951,No,446.499613783,Yes,Male,After_16:00,0.00322675285861,0.453703232575,2.0211333991,9.65186329558,2.72164060501,8.04798962548,4521.0,59.4054865185,609.773916715,5684.54397127,73452.6347124,Yes,199361.905109,24.693600724,744847.577233,98.6638789531,68243.164121,100.0,45_and_up,2.0,964.755789483,15.0,Foot_or_bicycle,Public_Sector,742.618606122,1.0,No,train
3160,Yellows,7.0,525.686096127,67589.1758182,Environment,175.228698709,No,385.719784009,Yes,Female,After_16:00,0.634791933,0.0109171599615,9.37469174853,5.59125156375,7.07361412467,3.37153827772,5364.0,69.8874328053,621.302261997,5099.80236408,75276.2958072,Yes,148779.751776,24.925935529,773255.455159,80.4543486796,30890.32555,90.0,30-45,2.0,1011.11093853,18.0,Motorcycle_or_truck,Hightech,826.733848662,0.0,No,train
3161,Blues,8.0,63.0132197455,8832.76857851,Financial,21.0044065818,No,420.519786841,Yes,Female,After_16:00,0.420408816542,0.917184602935,4.15419071913,3.39269239688,1.65059723426,8.81443653954,9915.0,15.8644960728,575.64869606,5356.49526053,66765.776106,Yes,176836.891125,23.9926800516,663763.146862,48.5046692425,472.189502437,60.0,45_and_up,0.0,855.028066984,7.0,Car,Hightech,589.784523692,0.0,No,train
3162,Blues,1.0,661.304885574,128345.196086,Social,220.434961858,No,582.236116284,No,Female,By_16:00,0.85251138988,0.789406655123,7.96928139636,6.47952894215,6.9254316506,9.29962172406,5205.0,37.5077907927,627.506732163,7077.37462717,75070.2938651,Yes,338998.895106,25.0500844742,788772.579211,32.6164435595,48822.0073713,70.0,45_and_up,3.0,948.452307862,14.0,Foot_or_bicycle,Hightech,650.945274573,3.0,No,train
3163,Oranges,8.0,253.771332936,69787.46398,Environment,84.5904443119,No,825.004107115,No,Male,After_16:00,0.404564720578,0.266878968338,5.58868230088,0.447349350434,8.94604367437,5.52508139983,3759.0,30.9485193808,877.106318383,10004.2537079,100475.454962,Yes,680631.776757,29.6159807939,1540173.89941,,7250.1337132,90.0,Below_30,1.0,1225.85000314,16.0,Foot_or_bicycle,Services_or_Retail,707.907811762,1.0,No,train
3165,Oranges,6.0,348.651192817,47705.2282115,Social,116.217064272,No,410.483852008,Yes,Female,After_16:00,0.632257480407,0.856724384474,0.662705649156,0.604591649026,9.92119004717,8.08132064529,9562.0,79.7127839411,550.68076597,5206.20005202,68105.9718491,Yes,168496.992759,23.4665882899,607661.412613,75.353292143,13632.6230923,70.0,Below_30,5.0,907.819446038,13.0,Foot_or_bicycle,Industry_or_other,742.316742929,4.0,No,train
3170,Whites,8.0,323.189019924,103921.908435,Foreign_Affairs,107.729673308,No,964.654447045,No,Female,By_16:00,0.511887432076,0.664218351943,5.05046929698,9.22171529848,6.73397371313,6.98949421057,3282.0,96.3573967107,982.110641949,11610.7657544,117828.980546,Yes,930558.202204,31.3386445455,1931051.23719,11.6629097611,11723.4121844,40.0,30-45,1.0,1477.34336138,14.0,Car,Student_or_Unemployed,993.956677847,1.0,Yes,train
3171,Oranges,9.0,148.107071071,20963.8535345,Healthcare,49.3690236905,No,424.635772947,Yes,Male,After_16:00,0.986281598918,0.893262237078,7.61455425993,1.21005310211,6.72357576434,5.81435055705,7229.0,2.08973553963,546.61812135,5339.59397217,67770.9435082,Yes,180315.539666,23.3798657257,598748.798065,42.3007937381,2496.66952384,80.0,Below_30,2.0,900.130444339,12.0,Public_or_other,Student_or_Unemployed,731.421115659,0.0,No,train
3173,Blues,8.0,342.585272078,69374.9520618,Financial,114.195090693,No,607.512561538,No,Female,By_16:00,0.239569847705,0.524246839341,2.63693008339,8.73463114025,3.56117005693,9.86383674433,8457.0,49.3691524724,672.524650157,7420.17491569,79706.0284219,Yes,369071.512426,25.9330802289,905873.554996,29.9196942709,13164.713829,60.0,30-45,2.0,1004.6395905,18.0,Foot_or_bicycle,Public_Sector,677.232298403,1.0,No,train
3175,Oranges,4.0,840.139797554,223337.158883,Social,280.046599185,No,797.499985836,No,Female,By_16:00,0.565314930398,0.206562460633,2.26405654103,2.55652125459,7.53872079542,2.57947963197,4372.0,6.20130768511,882.275985878,9739.55183012,100235.897588,Yes,636006.227409,29.7031309104,1558329.17045,92.8473841865,78716.144314,70.0,30-45,2.0,1223.71836323,10.0,Public_or_other,Hightech,699.839954709,1.0,No,train
3176,Blues,7.0,167.197986588,35261.1566817,Healthcare,55.732662196,No,632.68387499,No,Male,After_16:00,0.88556950679,0.0394861930981,2.79591862112,2.73555868305,3.44807067886,3.40682812966,9471.0,65.1478391141,662.759547213,7652.35784433,79086.1808972,Yes,400288.885672,25.7441167495,879808.761817,83.1907395041,3171.86229765,80.0,30-45,1.0,992.573528802,5.0,Car,Hightech,665.643097622,1.0,No,train
3177,Blues,1.0,210.808872737,28691.8159767,Social,70.2696242458,No,408.310365747,Yes,Female,After_16:00,0.781919239787,0.0589985167608,3.22979218327,1.01085905218,3.59392927261,9.71113476204,3266.0,86.3762156339,564.601863153,5212.30738378,65895.4354759,Yes,166717.354777,23.7613523006,638568.229866,5.90218682773,5018.08971589,70.0,Below_30,2.0,848.668587456,18.0,Foot_or_bicycle,Industry_or_other,599.391748086,0.0,No,train
3178,Blues,10.0,393.720255004,78347.2411925,Environment,131.240085001,No,596.976458767,No,Female,After_16:00,0.658799835714,0.918475147802,7.13307614438,5.82436894299,0.457682884298,4.75450430997,8361.0,89.6905670641,653.068244742,7275.90107715,77240.6755909,Yes,356380.892322,25.555199955,854248.746092,21.0244853282,17365.1999962,90.0,Below_30,2.0,970.211592503,3.0,Motorcycle_or_truck,Student_or_Unemployed,645.505052718,1.0,No,train
3179,Reds,7.0,1020.28587444,214254.446278,Healthcare,340.095291481,No,629.983571209,No,Male,After_16:00,0.187728374964,0.127601611661,7.3428914859,3.53507457068,6.84602733003,2.05098518636,4608.0,91.4458547253,671.173108452,7642.18192899,80495.7646887,Yes,396879.299993,25.9070088673,902286.327254,33.6700009415,116014.902579,80.0,30-45,5.0,1016.88448738,20.0,Public_or_other,Public_Sector,699.660665304,0.0,No,train
3180,Yellows,10.0,96.0226726402,12917.7416001,Environment,32.0075575467,No,403.584109199,Yes,Male,By_16:00,0.781050811987,0.910167860333,6.47837187396,8.19216971518,5.25917544728,4.71813168144,8691.0,47.2885207972,501.024543947,5037.89017988,60717.6319857,Yes,162880.133198,22.3835775502,503063.673062,39.4779431168,1066.49129765,90.0,30-45,2.0,790.731339898,,Car,Student_or_Unemployed,598.901678851,0.0,No,train
3181,Oranges,10.0,616.524003897,86645.5120527,Healthcare,205.508001299,No,421.616246108,Yes,Female,After_16:00,,0.109468630282,3.69026903296,2.08867728012,8.30034708604,2.22826070851,4115.0,99.7600552626,562.415618315,5340.99369771,69486.7286944,Yes,177760.258982,23.7153034624,633807.576176,49.9064404983,42449.0465992,80.0,Below_30,3.0,924.987921211,9.0,Foot_or_bicycle,Industry_or_other,753.304480233,0.0,No,train
3182,Yellows,1.0,373.425290743,46330.5101586,Financial,124.475096914,No,372.207062353,Yes,Male,After_16:00,0.205241406802,0.483110176632,0.977134425193,7.5152502046,4.77164029609,8.70202869875,4361.0,26.9903139677,587.421855942,4896.91433541,67412.9557311,Yes,138538.097265,24.2367872446,691123.762792,79.9121520948,15628.5248488,60.0,30-45,2.0,872.241402576,11.0,Motorcycle_or_truck,Services_or_Retail,612.682051986,2.0,No,train
3184,Blues,3.0,236.836885679,32905.4633813,Financial,78.9456285597,No,416.811721962,Yes,Male,By_16:00,0.911026553251,0.566730228718,3.80626218393,4.10697640851,1.12946002278,1.5970182186,6297.0,20.9575186716,590.613864924,5349.34494947,68205.9941398,Yes,173732.011565,24.3025485273,698679.377284,20.844304096,6321.35789724,60.0,45_and_up,4.0,874.778991335,17.0,Motorcycle_or_truck,Student_or_Unemployed,603.090681414,0.0,No,train
3186,Yellows,8.0,81.5879747571,11069.7939752,Education,27.1959915857,No,407.037704077,Yes,Female,After_16:00,0.977330407361,0.706465970958,9.70571286511,8.60986719839,4.93821199518,5.54161249893,4853.0,0.0724939862266,628.215940775,5326.80892232,70998.4361878,,165679.69254,25.0642362895,790328.509842,38.3163862629,776.817949916,100.0,45_and_up,2.0,906.565942247,2.0,Public_or_other,Industry_or_other,600.935650283,2.0,No,train
3188,Blues,2.0,360.247536356,69389.6854197,Environment,120.082512119,No,577.850048233,No,Female,By_16:00,0.740344286198,0.413702026941,0.779129599687,0.467814842705,4.66870152857,0.348344270606,4570.0,28.5920505645,650.986418445,7080.47331922,77174.9752649,Yes,333910.678243,25.5144354914,848818.510612,47.6150844479,14549.8922288,90.0,45_and_up,2.0,975.686063365,20.0,Foot_or_bicycle,Public_Sector,664.026563883,1.0,No,train
3189,Yellows,1.0,586.254152716,68807.8855343,Financial,195.418050905,No,352.10608854,Yes,Male,After_16:00,0.189654591028,0.416588827968,5.518571625,8.79758229945,4.27590405103,4.50976742199,9816.0,67.5288736355,576.45467565,4673.9702367,65353.8250285,Yes,123978.697587,24.0094705408,665538.250832,2.42541769985,38393.6326706,60.0,30-45,3.0,842.099109793,12.0,Motorcycle_or_truck,Public_Sector,576.158585707,2.0,No,train
3190,Pinks,9.0,755.236749504,184330.615655,Military,251.745583168,No,732.209929307,No,Female,By_16:00,0.590000719298,0.39848469221,2.49267826788,4.07715841429,2.09751843475,7.58803011151,9711.0,7.41083305329,282.833463745,7887.76622056,47411.1820977,Yes,536131.380575,16.8176533365,161268.134888,98.5096225515,63637.5842277,30.0,Below_30,2.0,595.965375517,2.0,Public_or_other,Student_or_Unemployed,536.388530431,0.0,Yes,train
3191,Oranges,5.0,76.0816068623,21506.3794655,Financial,25.3605356208,No,848.025443435,No,Female,After_16:00,0.913632552372,0.430663553532,6.96437667822,9.04543753015,6.05740579311,4.0733068483,3102.0,46.2424015393,851.129950454,10182.5143353,98885.1851578,Yes,719147.152713,29.1741315287,1450414.51302,33.2944128662,678.517302592,60.0,Below_30,5.0,1206.87072982,1.0,Public_or_other,Public_Sector,712.102460135,0.0,No,train
3192,Blues,9.0,324.516328033,43819.5661576,Healthcare,108.172109344,No,405.091168354,Yes,Male,By_16:00,0.992077808827,0.118909246521,0.780929140747,6.64833625546,2.47704440029,6.86101674801,8730.0,75.1971193356,561.541505104,5173.99469375,65421.9563999,Yes,164098.854678,23.6968669892,631664.64491,70.9422732703,11819.3773493,80.0,45_and_up,1.0,841.811387289,7.0,Motorcycle_or_truck,Industry_or_other,591.829831719,0.0,No,train
3193,Greens,7.0,395.042052182,88048.9281409,Foreign_Affairs,131.680684061,No,668.654850702,No,Male,By_16:00,0.382225976558,0.315390883945,7.13407758856,6.77262918791,8.60466657439,9.15979565587,4352.0,85.9937191475,740.333730779,8167.21596858,84307.4237239,Yes,447099.309367,27.2090744197,1097462.96388,0.696994410828,17481.4832387,40.0,45_and_up,2.0,1031.28742537,10.0,Public_or_other,Hightech,596.243165201,0.0,Yes,train
3195,Greens,9.0,851.15614199,238435.16681,Foreign_Affairs,283.718713997,No,840.392808254,No,Male,By_16:00,0.909880571067,0.758047576062,4.4832852995,1.25755183632,5.96743092407,3.69168417761,6087.0,27.3627156857,925.237796898,10254.4036763,100054.127332,Yes,706260.072165,30.4177217572,1713491.15555,71.2992778979,80790.027386,40.0,45_and_up,0.0,1172.15385976,6.0,Public_or_other,Student_or_Unemployed,510.801123455,0.0,Yes,train
3196,Greys,2.0,728.78419588,112360.117872,Healthcare,242.928065293,No,462.524236286,Yes,Male,By_16:00,0.489281624556,0.566405646969,1.89744877163,0.989873039071,1.80690760259,4.40714805853,9398.0,25.2808885882,607.431052314,5840.10446749,74267.4759037,Yes,213928.669152,24.6461163739,739191.842158,30.2764139138,59266.9729724,80.0,30-45,1.0,980.116016402,12.0,Public_or_other,Public_Sector,774.35129138,2.0,No,train
3198,Reds,3.0,265.230077999,35133.7250479,Healthcare,88.4100259995,No,397.395257503,Yes,Male,By_16:00,0.00679341540672,0.211433648597,5.07451302372,7.87419996224,3.58276774641,3.86383973761,4950.0,22.4291409133,700.064295129,5374.08116529,81572.2763139,Yes,157922.990686,26.4587281465,981405.317423,33.3934244234,7914.74272324,80.0,45_and_up,1.0,1078.74115932,3.0,Public_or_other,Industry_or_other,817.887535913,2.0,No,train
3203,Yellows,9.0,369.912792179,53049.9305105,Social,123.30426406,No,430.235976956,Yes,Female,After_16:00,0.735129905632,0.973334446549,0.159336018842,8.62320859917,9.81744267279,6.54056935571,8368.0,18.4851592872,557.679939056,5417.71964767,66901.9235688,Yes,185102.995867,23.6152480202,623105.0873,95.0442038476,15337.2457993,70.0,Below_30,1.0,870.446778412,10.0,Foot_or_bicycle,Services_or_Retail,651.022471131,0.0,No,train
3206,Yellows,5.0,100.59695243,11034.2379591,Financial,33.5323174766,No,329.06279045,Yes,Female,By_16:00,0.573473854223,0.152436263859,8.72502851067,6.67362458771,1.48195856251,5.338470852,9652.0,34.9019166781,613.259463865,4517.14683223,66785.7637993,Yes,108282.320059,24.7640760753,753040.834971,1.82779387105,1167.94863283,60.0,30-45,1.0,848.55586723,11.0,Foot_or_bicycle,Industry_or_other,527.432141413,1.0,No,train
3207,Whites,8.0,45.0103166572,3922.40313083,Foreign_Affairs,15.0034388857,No,261.433606036,Yes,Female,After_16:00,0.129635178018,0.84984217491,0.32663341146,0.00487677752972,9.84714573482,7.8374461038,8829.0,42.1901449328,774.285306267,4162.90667289,88015.5240399,Yes,68347.530365,27.8259825751,1200247.26671,94.5686855819,250.106617283,40.0,45_and_up,1.0,1193.18118485,,Motorcycle_or_truck,Hightech,940.362097214,1.0,Yes,train
3210,Blues,6.0,146.755309357,20838.1039013,Social,48.9184364522,No,425.976490923,Yes,Female,By_16:00,0.2824644465,0.75187155162,9.58845922723,0.358593617566,0.885988371447,3.00582599128,4774.0,47.7128176717,598.143247484,5456.05140419,69561.4667942,Yes,181455.970819,24.4569672585,716615.726671,36.6704613669,2451.93186138,70.0,Below_30,3.0,,1.0,Car,Hightech,629.061158688,0.0,No,train
3212,Oranges,6.0,262.719988948,69739.7143687,Healthcare,87.5733296493,No,796.357916822,No,Female,After_16:00,0.57223591092,0.314679651055,6.83458802057,8.34411868826,5.89845745359,7.26539242314,4994.0,21.3995229919,847.149538459,9657.87824513,97952.7835237,Yes,634185.931684,29.1058334095,1436854.63615,77.2039342672,7766.66139552,80.0,Below_30,2.0,1203.86898197,15.0,Car,Industry_or_other,723.597211348,0.0,No,train
